"Period","Group","Sender","datetime","Time","ClientTime","Key","target","subjectid","rank","action","subperiodNumber","payoff","LOG_CONFIG.q1","LOG_CONFIG.mu","LOG_CONFIG.maxX","LOG_CONFIG.q2","LOG_CONFIG.ymax","LOG_CONFIG.period_length_s","LOG_CONFIG.period","LOG_CONFIG.payoffProjection","LOG_CONFIG.minX","LOG_CONFIG.ymin","LOG_CONFIG.step","LOG_CONFIG.hidePayoffs","LOG_CONFIG.groups","LOG_CONFIG.snap","LOG_CONFIG.payoffLabel","LOG_CONFIG.payoff","LOG_CONFIG.adjustAccuracy","LOG_CONFIG.actionHistory","LOG_CONFIG.num_sub_periods"
1,1,"2","2016-04-07 15:02:03.750",1460066523749951744,1460066518784,"state",0,"1",1.5,0,0,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:03.750",1460066523749951744,1460066518784,"state",0,"2",2.5,0,0,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:03.750",1460066523749951744,1460066518784,"state",0,"3",3.5,0,0,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:03.750",1460066523749951744,1460066518784,"state",0,"4",3.5,0,0,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:12.127",1460066532126714624,1460066527160,"state",0,"1",1,0,1,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:12.127",1460066532126714624,1460066527160,"state",0,"2",2.5,0,1,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:12.127",1460066532126714624,1460066527160,"state",0,"3",3.5,0,1,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:12.127",1460066532126714624,1460066527160,"state",4.9,"4",3.5,1.7,1,106.666666666667,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:20.564",1460066540563643648,1460066535598,"state",0,"1",1,0,2,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:20.564",1460066540563643648,1460066535598,"state",0,"2",2.5,0,2,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:20.564",1460066540563643648,1460066535598,"state",0,"3",3.5,0,2,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:20.564",1460066540563643648,1460066535598,"state",4.9,"4",3.5,3.7,2,240,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:28.995",1460066548995267328,1460066544026,"state",0,"1",1,0,3,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:28.995",1460066548995267328,1460066544026,"state",0,"2",2.5,0,3,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:28.995",1460066548995267328,1460066544026,"state",0,"3",3.5,0,3,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:28.995",1460066548995267328,1460066544026,"state",4.9,"4",3.5,4.9,3,326.666666666667,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:37.561",1460066557560656896,1460066552593,"state",0,"1",1,0,4,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:37.561",1460066557560656896,1460066552593,"state",0,"2",2.5,0,4,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:37.561",1460066557560656896,1460066552593,"state",0,"3",3.5,0,4,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:37.561",1460066557560656896,1460066552593,"state",4.9,"4",3.5,4.9,4,326.666666666667,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:45.857",1460066565857282304,1460066560889,"state",0,"1",1,0,5,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:45.857",1460066565857282304,1460066560889,"state",0,"2",2.5,0,5,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:45.857",1460066565857282304,1460066560889,"state",0,"3",3.5,0,5,0,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
1,1,"2","2016-04-07 15:02:45.857",1460066565857282304,1460066560889,"state",4.9,"4",3.5,4.9,5,326.666666666667,"2/3",100,10,"1/3",1000,10,1,TRUE,0,0,0.1,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,5
2,1,"2","2016-04-07 15:03:02.072",1460066582071924480,1460066577108,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:02.072",1460066582071924480,1460066577108,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:02.072",1460066582071924480,1460066577108,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:02.072",1460066582071924480,1460066577108,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:03.127",1460066583126553856,1460066578159,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:03.127",1460066583126553856,1460066578159,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:03.127",1460066583126553856,1460066578159,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:03.127",1460066583126553856,1460066578159,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:04.129",1460066584129131776,1460066579164,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:04.129",1460066584129131776,1460066579164,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:04.129",1460066584129131776,1460066579164,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:04.129",1460066584129131776,1460066579164,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:05.126",1460066585126304768,1460066580159,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:05.126",1460066585126304768,1460066580159,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:05.126",1460066585126304768,1460066580159,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:05.126",1460066585126304768,1460066580159,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:06.130",1460066586130428928,1460066581165,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:06.130",1460066586130428928,1460066581165,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:06.130",1460066586130428928,1460066581165,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:06.130",1460066586130428928,1460066581165,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:07.143",1460066587142571776,1460066582173,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:07.143",1460066587142571776,1460066582173,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:07.143",1460066587142571776,1460066582173,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:07.143",1460066587142571776,1460066582173,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:08.125",1460066588125049344,1460066583160,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:08.125",1460066588125049344,1460066583160,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:08.125",1460066588125049344,1460066583160,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:08.125",1460066588125049344,1460066583160,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:09.122",1460066589121836288,1460066584158,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:09.122",1460066589121836288,1460066584158,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:09.122",1460066589121836288,1460066584158,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:09.122",1460066589121836288,1460066584158,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:10.132",1460066590132460544,1460066585166,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:10.132",1460066590132460544,1460066585166,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:10.132",1460066590132460544,1460066585166,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:10.132",1460066590132460544,1460066585166,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:11.127",1460066591126668800,1460066586162,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:11.127",1460066591126668800,1460066586162,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:11.127",1460066591126668800,1460066586162,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:11.127",1460066591126668800,1460066586162,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:12.129",1460066592129160192,1460066587165,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:12.129",1460066592129160192,1460066587165,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:12.129",1460066592129160192,1460066587165,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:12.129",1460066592129160192,1460066587165,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:13.125",1460066593124844544,1460066588159,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:13.125",1460066593124844544,1460066588159,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:13.125",1460066593124844544,1460066588159,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:13.125",1460066593124844544,1460066588159,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:14.126",1460066594125769216,1460066589159,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:14.126",1460066594125769216,1460066589159,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:14.126",1460066594125769216,1460066589159,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:14.126",1460066594125769216,1460066589159,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:15.127",1460066595126867712,1460066590163,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:15.127",1460066595126867712,1460066590163,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:15.127",1460066595126867712,1460066590163,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:15.127",1460066595126867712,1460066590163,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:16.136",1460066596136446464,1460066591169,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:16.136",1460066596136446464,1460066591169,"state",0,"2",2.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:16.136",1460066596136446464,1460066591169,"state",0,"3",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:16.136",1460066596136446464,1460066591169,"state",0,"4",3.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
2,1,"2","2016-04-07 15:03:17.132",1460066597131715584,1460066592164,"state",0,"1",1.5,0,-1,0,"2/3",100,10,"1/3",1000,10,2,TRUE,0,0,0,TRUE,"c(1, 5, 2, 6, 3, 7, 4, 8)",0,"A","stable",0.01,TRUE,0
